levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=977, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=1, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=0, currentLevelTime=1, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=976, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=2, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=0, currentLevelTime=2, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=975, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=3, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=0, currentLevelTime=3, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=974, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=4, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=0, currentLevelTime=4, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=973, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=5, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=0, currentLevelTime=5, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=972, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=6, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=6, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=971, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=7, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=7, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=970, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=8, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=8, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=969, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=9, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=9, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=970, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=10, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=10, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=RIGHT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=969, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=11, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=10, currentLevelTime=11, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=968, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=12, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=20, currentLevelTime=12, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=967, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=13, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=20, currentLevelTime=13, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=966, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=14, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=20, currentLevelTime=14, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=965, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=15, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=20, currentLevelTime=15, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
levelCount=0, ghost.PINKY.currentNodeIndex=1292, pacman.currentNodeIndex=964, ghost.BLINKY.lastMoveMade=NEUTRAL, ghost.INKY.edibleTime=0, timeOfLastGlobalReversal=-1, totalTime=16, ghost.SUE.currentNodeIndex=1292, ghost.SUE.edibleTime=0, mazeIndex=0, ghost.PINKY.lastMoveMade=NEUTRAL, score=30, currentLevelTime=16, ghost.SUE.lastMoveMade=NEUTRAL, pacman.lastMoveMade=LEFT, pacmanWasEaten=false, ghost.BLINKY.currentNodeIndex=1292, ghost.INKY.lastMoveMade=NEUTRAL, ghost.BLINKY.edibleTime=0, pacman.numberOfLivesRemaining=3, pacman.hasReceivedExtraLife=false, ghost.PINKY.edibleTime=0, ghost.INKY.currentNodeIndex=1292
